id,claude:claude-sonnet-5,openai:glm-5.2
02b6b0457e294628,all_nodes,all_nodes
04f6081f4baf8513,narrow_config,narrow_config
06ac04f6fc25dd28,operator_self_only,all_nodes
06be7dc4c1ffb782,all_nodes,all_nodes
08c1cedc48562681,all_nodes,all_nodes
204dd28eca18ee54,all_nodes,all_nodes
28ac46bcf09773cf,all_nodes,all_nodes
2c3bbe2fa018f083,default_role_subset,all_nodes
2ea9db0643f8dedc,narrow_config,narrow_config
391aaf2d387612fd,all_nodes,all_nodes
3d74c0f53be49bec,all_nodes,all_nodes
441cd590285ea8e0,narrow_config,all_nodes
4830cc6fb225c6e9,default_role_subset,all_nodes
506b2e76b64fe2c6,all_nodes,all_nodes
5106a70e2cbfc8ad,narrow_config,all_nodes
511d306991f1f534,narrow_config,narrow_config
515c294fa3befb46,default_role_subset,all_nodes
52a5bdbc45335d58,all_nodes,all_nodes
5a3a43e849df6028,operator_self_only,operator_self_only
61ef89e2ab534b32,all_nodes,all_nodes
62e8f286767d785e,all_nodes,all_nodes
68c6fd5ad6068940,default_role_subset,all_nodes
6d9fbd6b0a3f9fd4,default_role_subset,all_nodes
6e000de29c273ad5,all_nodes,narrow_config
6e4047afe19e1248,default_role_subset,default_role_subset
6fad56ffd2f16be8,operator_self_only,narrow_config
6fb978f0fdf9b0f0,narrow_config,narrow_config
76a0220550bc0219,default_role_subset,default_role_subset
78dc88cabdf32dd2,operator_self_only,all_nodes
79a5734dcb98024d,narrow_config,all_nodes
7dce34f9c4b9981e,all_nodes,all_nodes
83cccb979a249f1e,all_nodes,all_nodes
92b4e4c954468852,all_nodes,all_nodes
956db92119294822,all_nodes,all_nodes
971ef37281f9fe0d,default_role_subset,default_role_subset
97c9bce9f70dd28d,operator_self_only,operator_self_only
9d281cd7385d8958,narrow_config,narrow_config
9dceecc674483c76,narrow_config,narrow_config
ab4b3b42313daaa5,operator_self_only,all_nodes
aed8c4e25070865f,all_nodes,all_nodes
b1c9a13d15ccd608,all_nodes,all_nodes
bad60eea57269a6f,default_role_subset,narrow_config
c9009154ce692582,default_role_subset,default_role_subset
cd61542cfa31ee40,default_role_subset,default_role_subset
d0578666c1aa52dd,narrow_config,narrow_config
d985fecc6f7d7397,narrow_config,all_nodes
dfd772660d2f7eb3,narrow_config,narrow_config
e3d937838aebd040,narrow_config,narrow_config
e4eecf24a4501ff6,all_nodes,all_nodes
e84e13f52af9dacd,all_nodes,all_nodes
ea018c4d04c6a290,default_role_subset,default_role_subset
eceadd9c7892558a,all_nodes,all_nodes
f2c52d056567b78e,all_nodes,all_nodes
fef6b529d2c24653,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#195,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#19579,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#20013,narrow_config,default_role_subset
geth:ethereum-go-ethereum:PR#20948,default_role_subset,all_nodes
geth:ethereum-go-ethereum:PR#22540,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#22575,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#23047,operator_self_only,operator_self_only
geth:ethereum-go-ethereum:PR#23955,all_nodes,default_role_subset
geth:ethereum-go-ethereum:PR#24946,operator_self_only,all_nodes
geth:ethereum-go-ethereum:PR#26652,default_role_subset,all_nodes
geth:ethereum-go-ethereum:PR#27945,all_nodes,
geth:ethereum-go-ethereum:PR#28361,operator_self_only,operator_self_only
geth:ethereum-go-ethereum:PR#29107,narrow_config,narrow_config
geth:ethereum-go-ethereum:PR#30414,operator_self_only,all_nodes
geth:ethereum-go-ethereum:PR#30430,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#33647,operator_self_only,all_nodes
geth:ethereum-go-ethereum:PR#33968,default_role_subset,narrow_config
geth:ethereum-go-ethereum:PR#35140,operator_self_only,operator_self_only
geth:ethereum-go-ethereum:PR#3591,default_role_subset,default_role_subset
geth:ethereum-go-ethereum:PR#3738,all_nodes,all_nodes
geth:ethereum-go-ethereum:PR#954,default_role_subset,default_role_subset
lighthouse:networking:PR#1009,all_nodes,all_nodes
lighthouse:networking:PR#1241,operator_self_only,operator_self_only
lighthouse:networking:PR#249,all_nodes,all_nodes
lighthouse:networking:PR#3749,operator_self_only,default_role_subset
lighthouse:networking:PR#3845,all_nodes,all_nodes
lighthouse:networking:PR#457,all_nodes,all_nodes
lighthouse:networking:PR#4652,narrow_config,narrow_config
lighthouse:networking:PR#4877,operator_self_only,default_role_subset
lighthouse:networking:PR#4879,operator_self_only,narrow_config
lighthouse:networking:PR#5037,operator_self_only,all_nodes
lighthouse:networking:PR#5057,operator_self_only,all_nodes
lighthouse:networking:PR#5104,narrow_config,operator_self_only
lighthouse:networking:PR#5569,narrow_config,narrow_config
lighthouse:networking:PR#5764,all_nodes,narrow_config
lighthouse:networking:PR#5772,narrow_config,narrow_config
lighthouse:networking:PR#60,all_nodes,all_nodes
lighthouse:networking:PR#6211,narrow_config,narrow_config
lighthouse:networking:PR#640,all_nodes,all_nodes
lighthouse:networking:PR#6940,default_role_subset,all_nodes
lighthouse:networking:PR#759,all_nodes,all_nodes
lighthouse:networking:PR#7957,operator_self_only,all_nodes
lighthouse:networking:PR#832,all_nodes,all_nodes
lighthouse:networking:PR#8496,all_nodes,all_nodes
lighthouse:networking:PR#9090,all_nodes,all_nodes
lighthouse:networking:PR#9141,narrow_config,narrow_config
lighthouse:networking:PR#9177,operator_self_only,all_nodes
lighthouse:networking:PR#9233,narrow_config,narrow_config
lighthouse:networking:PR#9321,narrow_config,narrow_config
lighthouse:networking:PR#974,all_nodes,all_nodes
lighthouse:networking:PR#977,all_nodes,all_nodes
lighthouse:sigp-lighthouse:ISSUE#1773,all_nodes,all_nodes
lighthouse:sigp-lighthouse:ISSUE#800,all_nodes,all_nodes
lighthouse:sigp-lighthouse:ISSUE#891,all_nodes,all_nodes
lighthouse:sigp-lighthouse:PR#8065,all_nodes,all_nodes
prysm:prysmaticlabs-prysm:ISSUE#9098,all_nodes,all_nodes
