id,provenance,severity,claude:claude-sonnet-5,openai:glm-5.2
068fecf2765f0271,cross_client_keyword_heuristic,Medium,True,True
0d835c0f255d5538,cross_client_keyword_heuristic,Medium,True,True
0df949d9de931321,cross_client_keyword_heuristic,Medium,True,True
0dfc891d465ab355,cross_client_keyword_heuristic,Medium,True,True
11d178609806d192,cross_client_keyword_heuristic,Medium,True,True
12d4419b272f31b5,cross_client_keyword_heuristic,Medium,True,True
15a905becebea648,cross_client_keyword_heuristic,Medium,True,True
1d278fa09972ce70,cross_client_keyword_heuristic,Medium,True,True
210be8c48c7e32d3,cross_client_keyword_heuristic,Medium,True,True
2166834347fcfa08,cross_client_keyword_heuristic,Medium,True,True
298f56095721e081,cross_client_keyword_heuristic,Medium,True,True
327949dc1dbe940e,cross_client_keyword_heuristic,Medium,True,True
3f495d3767bd5a5f,cross_client_keyword_heuristic,High,True,True
420c45198e2068b0,cross_client_keyword_heuristic,Medium,True,True
427f665e6c3a2695,cross_client_keyword_heuristic,Medium,True,True
4571ced2456d648d,cross_client_keyword_heuristic,Medium,True,True
475682d10d661b75,cross_client_keyword_heuristic,High,True,True
4f09bedbf1707694,cross_client_keyword_heuristic,High,False,True
4f38e97e31467831,cross_client_keyword_heuristic,Medium,True,False
57ff5427a6f6a108,cross_client_keyword_heuristic,Medium,True,True
5afea38073770d27,cross_client_keyword_heuristic,Medium,True,True
6d87a5520abe4ad2,cross_client_keyword_heuristic,Medium,True,True
72c369295f9e58e2,cross_client_keyword_heuristic,Medium,True,True
74084892d5a752d6,cross_client_keyword_heuristic,Medium,True,True
7482623489bc990c,cross_client_keyword_heuristic,High,False,False
77dd57a07fe1859c,cross_client_keyword_heuristic,Medium,True,True
8511f131635d38f7,cross_client_keyword_heuristic,Medium,True,True
a11696bd3fed0e98,cross_client_keyword_heuristic,Medium,True,True
a215dbfba80d8d85,cross_client_keyword_heuristic,Medium,True,True
aa769cb93837b859,cross_client_keyword_heuristic,Medium,True,True
aa93fb8e0700f29a,cross_client_keyword_heuristic,Medium,True,True
b1a6e88b2f095f12,cross_client_keyword_heuristic,High,True,True
b6cefad111d80396,cross_client_keyword_heuristic,Medium,True,True
b89b66ccf953baca,cross_client_keyword_heuristic,High,True,True
bbb5342076f824ff,cross_client_keyword_heuristic,Medium,True,True
bc4639f8ad50880b,cross_client_keyword_heuristic,Medium,True,True
besu:ghsa-advisory:GHSA-4456-w38r-m53x,published_advisory,Critical,False,False
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,published_advisory,High,False,False
besu:hyperledger-besu:GHSA-qgfj-mjpc-7w3q,published_advisory,Low,False,False
ce53375ee1a6c3d4,cross_client_keyword_heuristic,Medium,True,True
d82b53a15591d4ee,cross_client_keyword_heuristic,Medium,True,True
db7140d126418381,cross_client_keyword_heuristic,Medium,False,False
dc7e3fa111ce0e2a,cross_client_keyword_heuristic,High,True,False
e48f8281d1b32b8f,cross_client_keyword_heuristic,Medium,True,True
e5a971c8037ace0b,cross_client_keyword_heuristic,Medium,True,True
e9a2fa742e2ffe4e,cross_client_keyword_heuristic,Medium,False,True
ece24a10f23119be,repo_crawl_unattributed,High,True,True
f0dbd67163d3be80,cross_client_keyword_heuristic,Medium,True,True
f960a5728e79e59b,cross_client_keyword_heuristic,High,True,True
geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,published_advisory,High,False,False
geth:ethereum-go-ethereum:GHSA-59hh-656j-3p7v,published_advisory,Medium,False,False
geth:ethereum-go-ethereum:GHSA-69v6-xc2j-r2jf,published_advisory,High,False,False
geth:ethereum-go-ethereum:GHSA-9856-9gg9-qcmq,published_advisory,High,False,False
geth:ethereum-go-ethereum:GHSA-jm5c-rv3w-w83m,published_advisory,High,False,False
geth:ethereum-go-ethereum:GHSA-r33q-22hv-j29q,published_advisory,Medium,False,False
geth:ethereum-go-ethereum:GHSA-xw37-57qp-9mm4,published_advisory,High,False,False
geth:ghsa-advisory:GHSA-m6gx-rhvj-fh52,published_advisory,Critical,True,
lighthouse:sigp-lighthouse:GHSA-wm9c-xvqq-5c28,published_advisory,High,False,False
lodestar:chainsafe-lodestar:GHSA-53rv-hcvm-rpp9,published_advisory,Low,False,False
lodestar:chainsafe-lodestar:GHSA-m9c9-mc2h-9wjw,published_advisory,Low,False,False
